iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
53,25101.54,777,0.28218,11.02,93.47,151.17,233.36,312.80,403.91,926.52,242320.73,634,5.40,0.00,1.70,2.67,5.40,7.72,9.11,9.99
54,21579.56,692,0.28450,11.02,93.26,152.42,232.77,313.19,412.96,926.52,243610.79,634,5.41,0.00,1.75,2.68,5.43,7.73,9.12,9.99
55,22804.80,717,0.28363,11.02,93.08,155.67,232.91,318.57,418.21,926.52,244105.63,635,5.43,0.00,1.77,2.70,5.45,7.74,9.12,9.99
56,21438.18,665,0.28491,11.02,90.44,153.07,233.67,319.33,417.92,926.52,244670.57,634,5.44,0.00,1.82,2.73,5.47,7.75,9.12,9.99
57,22879.58,694,0.28741,11.02,93.47,152.80,231.88,316.64,416.68,926.52,244796.98,634,5.46,0.00,1.84,2.76,5.47,7.76,9.13,9.99
58,22853.56,697,0.28502,11.02,93.08,155.25,232.34,311.41,422.37,926.52,245020.24,634,5.47,0.00,1.87,2.78,5.49,7.77,9.14,9.99
59,26319.18,806,0.28737,11.02,92.31,154.22,229.53,317.04,416.24,926.52,244610.58,636,5.49,0.00,1.87,2.82,5.52,7.78,9.14,9.99
60,23072.25,722,0.28507,11.02,89.72,156.50,230.25,316.13,414.77,926.52,244541.63,634,5.49,0.00,1.89,2.84,5.53,7.79,9.15,9.99
61,22057.71,691,0.28522,11.02,89.73,155.67,231.69,316.84,420.12,926.52,244617.94,635,5.49,0.00,1.87,2.85,5.53,7.80,9.14,9.99
62,26261.77,823,0.28893,11.02,89.52,150.21,232.77,327.81,416.26,926.52,244486.18,634,5.50,0.00,1.92,2.90,5.54,7.81,9.15,9.99
63,25159.52,806,0.28845,11.02,92.48,155.34,229.22,321.15,416.23,926.52,244474.08,633,5.52,0.00,1.95,2.92,5.55,7.81,9.13,9.99
64,22683.32,693,0.28824,11.02,92.62,152.14,227.47,323.66,412.05,926.52,243729.21,631,5.50,0.00,1.89,2.91,5.55,7.78,9.10,9.99
65,23223.84,709,0.27983,11.02,94.83,153.69,234.74,321.28,413.46,926.52,244354.76,631,5.51,0.00,1.94,2.94,5.56,7.80,9.11,9.99
66,23012.91,726,0.28527,11.02,92.63,149.75,232.87,321.45,418.24,926.52,244989.15,629,5.52,0.00,1.96,2.95,5.56,7.81,9.12,9.99
67,22865.51,707,0.28154,11.02,94.58,153.20,233.40,321.38,407.56,926.52,244908.14,627,5.53,0.00,1.98,2.99,5.58,7.82,9.12,9.99
68,22430.06,704,0.28153,11.02,97.27,156.05,230.75,321.76,420.50,926.52,245372.15,628,5.54,0.00,1.99,3.00,5.59,7.81,9.13,9.99
69,24280.64,764,0.28425,11.02,95.72,151.35,234.24,321.25,416.51,926.52,245173.53,626,5.54,0.00,2.00,3.03,5.61,7.82,9.13,9.99
70,22293.39,726,0.28564,11.02,93.47,151.95,230.89,320.39,425.41,926.52,244894.30,623,5.54,0.00,2.01,3.06,5.62,7.81,9.11,9.99
71,25108.88,811,0.29056,11.02,91.87,149.59,230.32,324.93,424.94,926.52,244313.11,620,5.54,0.00,1.97,3.09,5.62,7.82,9.12,9.99
72,21614.75,708,0.28739,11.02,94.45,147.41,232.34,329.31,421.38,926.52,244722.16,621,5.55,0.00,2.00,3.13,5.63,7.83,9.12,9.99
73,22557.15,724,0.28582,11.02,94.58,149.75,232.77,328.04,423.10,926.52,245820.34,621,5.58,0.01,2.03,3.16,5.66,7.83,9.13,9.99
74,23155.38,708,0.28440,11.02,97.76,153.37,233.09,319.70,425.93,926.52,246626.74,621,5.60,0.02,2.08,3.19,5.67,7.84,9.13,9.99
