iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
69,573.92,97,0.35930,9.58,27.76,44.14,87.18,152.68,197.33,314.01,102018.56,497,4.43,0.00,1.43,1.67,4.21,7.21,8.78,9.99
70,442.15,73,0.35847,9.58,27.76,43.90,87.18,153.78,196.92,314.01,101875.34,496,4.42,0.00,1.45,1.69,4.21,7.22,8.78,9.99
71,521.04,85,0.35822,9.58,27.76,44.14,87.18,153.74,196.36,314.01,101873.92,494,4.42,0.00,1.46,1.71,4.10,7.21,8.78,9.99
72,502.27,76,0.35828,9.58,27.76,44.14,87.10,154.60,196.77,314.01,102136.17,495,4.44,0.01,1.49,1.73,4.13,7.22,8.78,9.99
73,391.87,66,0.35762,9.58,27.77,44.15,88.01,154.42,196.17,314.01,102382.01,495,4.45,0.00,1.51,1.76,4.06,7.23,8.79,9.99
74,456.43,73,0.35786,9.58,27.77,44.15,88.04,154.91,196.51,314.01,102391.09,494,4.46,0.00,1.53,1.78,4.06,7.24,8.79,9.99
75,588.02,88,0.35732,9.58,27.77,44.15,88.09,153.55,195.73,314.01,102381.62,493,4.46,0.00,1.55,1.80,4.06,7.23,8.78,9.99
76,490.61,84,0.35785,9.58,27.77,44.14,88.01,153.55,196.24,314.01,102277.51,493,4.47,0.00,1.56,1.82,4.01,7.21,8.79,9.99
77,692.50,113,0.35795,9.58,27.80,44.15,88.04,154.50,196.66,314.01,102519.48,494,4.48,0.01,1.58,1.84,4.02,7.21,8.79,9.99
78,322.86,53,0.35817,9.58,27.94,44.28,87.76,153.90,197.36,314.01,102566.32,491,4.47,0.00,1.57,1.86,3.98,7.15,8.80,9.99
79,471.37,75,0.35776,9.58,28.04,44.28,88.09,153.56,198.19,314.01,102839.20,491,4.48,0.02,1.61,1.88,4.00,7.16,8.80,9.99
80,538.00,92,0.35768,9.58,28.04,44.28,88.95,154.31,198.70,314.01,103086.17,491,4.50,0.03,1.64,1.90,4.01,7.17,8.81,9.99
81,354.97,60,0.35761,9.58,28.04,44.53,89.01,154.57,198.79,314.01,103324.89,490,4.50,0.00,1.66,1.92,4.02,7.17,8.81,9.99
82,579.88,90,0.35744,9.58,28.04,44.34,89.87,154.69,199.11,314.01,103542.49,491,4.52,0.03,1.67,1.94,4.04,7.17,8.81,9.99
83,463.17,72,0.35617,9.58,28.44,45.03,89.87,154.86,198.16,314.01,103558.60,490,4.52,0.00,1.68,1.96,3.95,7.16,8.82,9.99
84,676.54,113,0.35656,9.58,28.44,45.05,89.40,154.85,199.38,314.01,103527.35,488,4.52,0.00,1.70,1.99,3.89,7.13,8.82,9.99
85,390.57,63,0.35681,9.58,28.44,45.05,89.87,155.76,199.55,314.01,103558.92,487,4.53,0.00,1.72,2.01,3.87,7.13,8.82,9.99
86,446.12,75,0.35709,9.58,28.44,45.05,90.60,156.50,200.21,314.01,103787.58,490,4.54,0.02,1.74,2.03,3.90,7.15,8.82,9.99
87,482.41,75,0.35743,9.58,28.44,45.05,90.60,155.65,200.37,314.01,103999.58,491,4.56,0.05,1.76,2.05,3.90,7.16,8.83,9.99
88,434.37,73,0.35746,9.58,28.44,45.05,90.60,155.96,200.21,314.01,104205.50,496,4.57,0.08,1.77,2.07,3.92,7.17,8.83,9.99
89,564.10,86,0.35620,9.58,28.50,45.99,90.50,154.70,200.21,314.01,104164.17,492,4.56,0.00,1.76,2.09,3.91,7.13,8.82,9.99
90,621.33,101,0.35481,9.58,28.50,46.40,90.14,154.91,200.12,314.01,104151.71,492,4.56,0.00,1.78,2.11,3.89,7.11,8.80,9.99
91,462.40,70,0.35411,9.58,28.56,46.40,90.14,155.21,200.21,314.01,104192.30,491,4.57,0.00,1.79,2.13,3.89,7.11,8.81,9.99
92,393.84,63,0.35396,9.58,28.65,46.40,90.14,155.35,199.14,314.01,104219.19,491,4.57,0.00,1.81,2.15,3.89,7.12,8.81,9.99
93,473.77,75,0.35393,9.58,28.65,46.40,90.50,156.96,199.42,314.01,104376.50,490,4.58,0.00,1.83,2.18,3.88,7.12,8.82,9.99
94,495.62,73,0.35318,9.58,28.65,46.53,90.71,157.11,200.21,314.01,104612.86,488,4.58,0.00,1.83,2.19,3.88,7.11,8.82,9.99
95,477.55,74,0.35337,9.58,28.65,46.53,90.71,157.30,200.89,314.01,104853.86,490,4.59,0.01,1.85,2.22,3.89,7.12,8.82,9.99
96,483.70,73,0.35235,9.58,28.75,46.71,90.93,155.65,199.01,314.01,105040.36,489,4.59,0.00,1.85,2.23,3.84,7.11,8.82,9.99
97,587.09,96,0.35237,9.58,28.99,46.71,90.64,157.59,199.94,314.01,105276.38,490,4.60,0.02,1.88,2.26,3.86,7.11,8.82,9.99
98,357.51,60,0.35407,9.58,28.99,46.71,90.60,158.45,200.50,366.43,105512.35,491,4.61,0.00,1.86,2.27,3.88,7.10,8.83,9.99
99,416.67,67,0.35433,9.58,29.10,46.75,90.60,158.31,199.04,518.81,105740.08,490,4.61,0.00,1.86,2.29,3.85,7.08,8.82,9.99
100,473.66,80,0.35452,9.58,29.10,46.73,90.68,158.31,200.20,518.81,105976.98,492,4.62,0.04,1.88,2.32,3.86,7.09,8.83,9.99
101,432.83,73,0.35449,9.58,29.10,46.80,90.71,157.78,200.57,518.81,105989.59,492,4.63,0.00,1.90,2.33,3.89,7.09,8.83,9.99
102,367.57,61,0.35492,9.58,29.10,46.86,90.93,157.59,200.21,518.81,106106.65,490,4.63,0.00,1.84,2.35,3.85,7.06,8.83,9.99
103,644.01,109,0.35495,9.58,29.31,46.90,91.20,157.86,200.96,518.81,106338.62,493,4.64,0.02,1.86,2.37,3.88,7.07,8.83,9.99
104,344.12,58,0.35484,9.58,29.31,47.15,90.71,158.28,200.63,518.81,106572.09,493,4.66,0.03,1.89,2.39,3.91,7.08,8.83,9.99
105,634.51,103,0.35438,9.58,29.47,47.47,90.68,157.23,200.62,518.81,106465.62,492,4.65,0.00,1.89,2.41,3.86,7.04,8.82,9.99
106,481.32,81,0.35511,9.58,29.47,47.23,90.71,157.30,201.16,518.81,106691.93,492,4.67,0.02,1.93,2.43,3.87,7.05,8.83,9.99
107,544.29,86,0.35490,9.58,29.47,47.23,90.81,158.31,201.35,518.81,106902.05,492,4.68,0.05,1.96,2.45,3.88,7.06,8.83,9.99
108,506.85,84,0.35504,9.58,29.47,47.80,91.03,158.31,202.48,518.81,107104.46,494,4.70,0.06,1.97,2.47,3.89,7.07,8.83,9.99
109,348.23,56,0.35354,9.58,29.47,48.00,92.21,158.31,200.55,518.81,107224.87,493,4.70,0.00,2.00,2.49,3.87,7.07,8.84,9.99
110,345.01,55,0.35294,9.58,29.47,48.05,92.39,158.86,200.63,518.81,107436.60,494,4.72,0.03,2.02,2.51,3.89,7.08,8.84,9.99
111,471.63,82,0.35310,9.58,29.47,48.18,92.88,157.85,201.37,518.81,107640.58,494,4.72,0.00,2.04,2.53,3.87,7.08,8.84,9.99
112,564.41,90,0.35287,9.58,29.51,48.28,93.69,159.50,200.52,518.81,107796.83,493,4.71,0.00,2.03,2.55,3.83,7.04,8.85,9.99
113,508.93,82,0.35361,9.58,29.51,48.18,93.69,158.33,200.87,518.81,108057.26,495,4.72,0.00,2.04,2.57,3.79,7.04,8.85,9.99
114,507.15,91,0.35371,9.58,29.74,48.28,93.07,158.04,202.93,518.81,108308.21,496,4.73,0.03,2.04,2.58,3.81,7.04,8.85,9.99
115,539.13,92,0.35340,9.58,30.11,48.28,93.09,157.88,204.58,518.81,108345.97,494,4.73,0.00,2.06,2.61,3.78,7.05,8.85,9.99
116,327.75,61,0.35331,9.58,30.11,48.99,93.48,158.35,205.89,518.81,108587.97,496,4.75,0.01,2.06,2.62,3.80,7.06,8.86,9.99
117,340.73,54,0.35280,9.58,30.11,49.00,93.49,157.67,205.54,518.81,108809.29,495,4.75,0.00,2.10,2.65,3.78,7.07,8.86,9.99
118,299.92,46,0.35284,9.58,30.11,49.04,93.53,158.89,205.45,518.81,108817.89,494,4.76,0.00,2.09,2.66,3.74,7.08,8.86,9.99
119,417.76,72,0.35284,9.58,30.11,49.00,93.69,159.43,205.34,518.81,109032.16,495,4.78,0.03,2.10,2.69,3.76,7.09,8.86,9.99
120,415.63,65,0.35287,9.58,30.11,49.04,93.80,160.18,205.90,518.81,109233.38,497,4.79,0.05,2.13,2.70,3.79,7.09,8.87,9.99
121,470.73,75,0.35244,9.58,30.42,49.39,93.80,160.32,206.91,518.81,109427.67,498,4.81,0.08,2.15,2.72,3.82,7.10,8.87,9.99
122,518.25,85,0.35342,9.58,30.42,49.04,93.83,159.57,206.52,518.81,109611.34,497,4.81,0.00,2.15,2.74,3.81,7.08,8.84,9.99
123,599.90,101,0.35372,9.58,30.42,49.08,94.26,159.74,208.10,518.81,109792.09,497,4.83,0.01,2.16,2.76,3.83,7.10,8.85,9.99
124,430.28,77,0.35379,9.58,30.42,49.16,94.95,161.10,207.93,518.81,109977.63,498,4.84,0.02,2.17,2.78,3.84,7.10,8.85,9.99
125,367.94,63,0.35312,9.58,30.42,49.56,94.49,160.79,207.89,518.81,110160.31,499,4.85,0.00,2.19,2.80,3.82,7.11,8.85,9.99
126,321.55,52,0.35304,9.58,30.42,49.56,94.26,161.92,207.07,518.81,110354.19,499,4.86,0.02,2.21,2.82,3.84,7.11,8.85,9.99
