iteration,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents
116,0.26352,7.81,17.32,25.31,48.81,63.46,73.71,97.98,46208.29,662
117,0.26312,7.81,17.32,25.22,48.93,63.33,73.29,97.98,46132.90,662
118,0.26394,7.81,17.32,25.31,48.74,63.16,73.78,97.98,46023.41,660
119,0.26467,7.81,17.32,25.00,48.48,63.17,73.56,97.98,46026.62,659
120,0.26473,7.81,17.32,25.28,48.62,63.26,73.61,97.98,46102.26,659
121,0.26474,7.81,17.21,25.15,48.34,63.25,73.67,97.98,46080.27,659
122,0.26468,7.81,17.21,24.99,48.77,63.38,73.47,97.98,46141.56,659
123,0.26510,7.81,17.21,24.93,48.74,63.51,73.61,97.98,46035.18,659
124,0.26541,7.81,17.21,24.67,48.54,63.51,73.58,97.98,46038.86,659
125,0.26515,7.81,17.21,24.84,48.61,63.48,73.42,97.98,46069.65,660
126,0.26662,7.81,17.20,24.84,48.64,63.51,73.64,97.98,46000.29,659
127,0.26736,7.81,17.15,24.84,48.57,63.28,73.56,97.98,45822.23,657
128,0.26700,7.81,17.15,24.67,48.67,62.90,73.44,97.98,45820.67,656
129,0.26691,7.81,17.15,24.67,48.68,63.18,73.65,97.98,45907.89,657
130,0.26688,7.81,17.15,24.70,48.75,63.09,73.18,97.98,45853.16,657
131,0.26702,7.81,17.05,24.67,48.82,62.84,73.02,97.98,45823.99,658
132,0.26796,7.81,17.05,24.67,48.65,63.03,73.25,97.98,45750.11,658
133,0.26897,7.81,17.04,24.41,48.88,63.16,73.27,97.98,45719.66,657
134,0.26975,7.81,17.02,24.41,48.48,62.89,73.35,97.98,45553.26,654
135,0.26962,7.81,17.02,24.21,48.53,63.41,73.34,97.98,45577.88,653
136,0.27073,7.81,17.02,24.21,48.73,62.90,73.52,97.98,45572.63,652
137,0.27069,7.81,17.02,24.21,48.51,63.42,73.28,97.98,45569.73,653
138,0.27091,7.81,17.02,24.49,48.48,63.14,73.27,97.98,45570.87,655
139,0.27156,7.81,16.82,24.21,47.96,62.94,73.43,97.98,45361.64,654
140,0.27109,7.81,16.82,24.15,48.48,62.58,73.26,97.98,45336.40,655
141,0.27245,7.81,16.66,23.89,48.12,62.44,73.04,97.98,45032.00,652
142,0.27204,7.81,16.66,24.07,48.59,62.21,72.89,97.98,45099.97,652
143,0.27252,7.81,16.64,23.89,48.28,62.53,72.69,97.98,45077.75,651
144,0.27355,7.81,16.61,23.86,48.06,62.69,72.99,97.98,44996.87,650
145,0.27413,7.81,16.61,23.86,48.38,62.26,72.96,97.98,44899.40,650
146,0.27432,7.81,16.59,23.85,47.46,62.38,72.39,97.98,44813.50,650
147,0.27438,7.81,16.59,23.86,47.90,62.55,72.83,97.98,44857.16,651
148,0.27523,7.81,16.59,23.46,47.83,62.35,72.91,97.98,44832.05,651
149,0.27565,7.81,16.59,23.59,47.81,62.43,73.18,97.98,44800.29,650
150,0.27581,7.81,16.59,23.55,48.02,62.55,73.12,97.98,44860.10,650
151,0.27662,7.81,16.58,23.46,47.71,62.41,72.15,97.98,44754.40,652
152,0.27602,7.81,16.58,23.46,48.00,62.40,72.48,97.98,44738.54,654
153,0.27647,7.81,16.57,23.28,47.75,62.37,72.32,97.98,44556.62,652
154,0.27791,7.81,16.57,23.09,47.83,62.76,72.44,97.98,44551.32,652
155,0.27790,7.81,16.57,23.13,48.00,62.76,72.96,97.98,44595.73,652
156,0.27759,7.81,16.57,23.17,47.99,62.64,72.50,97.98,44646.08,654
157,0.27795,7.81,16.57,23.13,48.00,62.77,72.85,97.98,44637.50,654
158,0.27851,7.81,16.57,23.15,47.78,62.79,73.04,97.98,44677.42,654
159,0.27831,7.81,16.57,23.03,47.95,62.68,72.73,97.98,44646.94,655
160,0.27955,7.81,16.57,22.97,47.90,62.93,72.96,97.98,44556.64,655
161,0.27970,7.81,16.57,23.01,47.72,62.54,72.86,97.98,44433.68,653
162,0.27984,7.81,16.57,22.89,47.04,62.43,72.60,97.98,44443.33,652
163,0.28093,7.81,16.57,22.84,47.68,62.50,72.81,97.98,44265.49,651
164,0.28032,7.81,16.57,22.87,47.29,62.37,72.56,97.98,44301.21,653
165,0.28094,7.81,16.53,22.94,46.85,61.86,73.03,97.98,44157.12,652
166,0.27988,7.81,16.53,22.91,47.22,62.36,72.98,97.98,44197.20,652
167,0.28179,7.81,16.52,22.79,46.99,62.08,72.72,97.98,43939.53,648
168,0.28144,7.81,16.52,22.88,46.66,61.94,72.87,97.98,43975.06,648
169,0.28151,7.81,16.52,22.84,47.02,62.58,72.46,97.98,44067.29,648
170,0.28107,7.81,16.52,22.89,46.51,62.81,72.47,97.98,44126.91,648
171,0.28137,7.81,16.49,22.88,47.17,62.55,72.17,97.98,44102.57,647
172,0.28185,7.81,16.49,22.84,46.96,62.37,72.32,97.98,43999.38,646
173,0.28253,7.81,16.49,22.89,47.20,62.00,72.82,97.98,44063.13,647
174,0.28242,7.81,16.49,22.76,47.02,62.07,72.66,97.98,44013.88,648
175,0.28308,7.81,16.39,22.79,45.73,62.00,72.47,97.98,43724.14,646
176,0.28388,7.81,16.39,22.76,46.21,62.29,72.48,97.98,43713.34,645
177,0.28361,7.81,16.39,22.76,46.23,62.35,72.56,97.98,43781.55,646
178,0.28425,7.81,16.39,22.49,45.90,62.34,72.71,97.98,43656.64,646
179,0.28489,7.81,16.39,22.49,45.72,62.47,72.75,97.98,43658.08,647
180,0.28472,7.81,16.39,22.43,46.19,62.15,72.69,97.88,43639.52,647
181,0.28397,7.81,16.39,22.57,45.95,62.21,72.40,97.88,43510.85,645
182,0.28408,7.81,16.39,22.57,45.44,62.39,72.79,97.88,43605.22,646
183,0.28488,7.81,16.39,22.49,45.40,62.26,72.70,97.88,43665.24,646
184,0.28470,7.81,16.39,22.49,45.58,62.75,72.76,97.88,43643.02,645
185,0.28465,7.81,16.39,22.47,46.00,62.61,72.62,97.88,43629.74,644
186,0.28537,7.81,16.39,22.49,46.18,62.41,72.77,97.88,43622.82,643
187,0.28575,7.81,16.39,22.49,44.62,62.40,72.95,97.88,43463.37,641
188,0.28578,7.81,16.42,22.22,44.22,62.17,72.66,97.88,43349.94,642
189,0.28549,7.81,16.42,22.43,43.94,62.02,72.55,97.88,43300.28,643
190,0.28605,7.81,16.42,22.22,44.04,62.06,72.35,97.88,43267.57,644
191,0.28680,7.81,16.39,22.09,43.48,62.00,72.62,97.88,43102.55,642
192,0.28710,7.81,16.39,22.09,43.76,61.99,72.03,97.88,43169.19,644
193,0.28578,7.81,16.42,22.09,43.55,61.90,71.85,97.60,43100.56,644
194,0.28691,7.81,16.39,22.09,43.16,62.11,71.55,97.60,42912.54,642
195,0.28684,7.81,16.37,22.09,43.15,61.75,72.04,97.60,42881.15,641
196,0.28655,7.81,16.37,22.06,43.21,62.00,71.98,97.60,42940.09,642
197,0.28699,7.81,16.36,22.06,42.93,61.99,71.97,97.60,42907.73,642
198,0.28745,7.81,16.36,22.06,42.93,61.97,71.74,97.60,42804.22,641
199,0.28886,7.81,16.26,21.79,41.45,62.18,71.49,97.60,42560.44,639
200,0.29000,7.81,16.12,21.70,40.84,61.98,71.57,97.60,42287.35,636
201,0.29027,7.81,16.12,21.75,40.89,61.58,71.95,97.60,42295.88,635
202,0.29009,7.81,16.12,21.75,41.40,61.94,71.48,97.60,42371.14,636
203,0.29066,7.81,16.08,21.70,41.05,61.91,71.57,99.96,42417.53,638
204,0.29013,7.81,16.08,21.70,40.94,61.94,71.65,99.96,42346.64,640
205,0.29078,7.81,16.08,21.70,40.63,61.28,71.71,99.96,42255.99,639
206,0.29090,7.81,16.08,21.68,41.28,61.20,71.54,99.96,42309.40,641
207,0.29239,7.81,16.08,21.68,40.82,62.02,71.56,99.96,42314.96,641
208,0.29185,7.81,16.12,21.70,40.88,62.21,71.60,99.96,42381.85,640
209,0.29230,7.81,16.12,21.70,40.65,62.15,71.72,99.96,42450.03,642
210,0.29184,7.81,16.12,21.70,40.85,61.75,71.65,99.96,42447.73,642
211,0.29210,7.81,16.12,21.68,41.12,61.75,71.63,99.96,42328.19,641
212,0.29309,7.81,16.08,21.67,40.66,61.65,71.75,99.96,42303.17,640
213,0.29235,7.81,16.08,21.67,40.81,61.88,71.71,99.96,42362.61,641
214,0.29291,7.81,16.02,21.66,40.62,61.83,71.79,99.96,42277.02,641
215,0.29282,7.81,16.02,21.66,40.69,61.68,71.92,99.96,42294.89,643
216,0.29396,7.81,16.02,21.55,40.56,61.92,72.00,99.96,42304.74,645
217,0.29411,7.81,16.02,21.67,40.63,61.96,72.04,99.96,42260.50,752
218,0.28179,8.17,17.72,23.40,39.98,62.28,71.79,95.44,42679.80,761
219,0.27797,8.17,17.98,24.41,40.31,61.82,71.64,86.15,42825.44,763
220,0.27731,8.17,17.97,24.71,40.09,61.76,71.44,86.91,42736.54,764
221,0.27653,8.17,18.02,24.86,40.32,61.33,71.88,84.12,42853.27,768
222,0.27675,8.17,18.05,24.89,40.13,61.71,71.84,88.13,42827.98,768
223,0.27612,8.17,18.12,25.02,39.82,61.80,71.83,88.31,42752.31,768
224,0.27438,8.17,18.18,25.12,40.30,61.70,71.78,85.41,42870.14,769
225,0.27424,8.17,18.20,25.25,39.93,61.57,71.94,90.30,42915.17,769
226,0.27383,8.17,18.20,25.34,39.98,62.07,71.43,87.72,42974.95,770
227,0.27386,8.17,18.20,25.36,40.58,62.03,71.75,90.35,43038.90,771
228,0.27455,8.17,18.18,25.44,40.64,62.08,71.77,109.12,43102.93,770
229,0.27397,8.17,18.18,25.53,40.68,61.96,71.85,87.45,43113.32,772
230,0.27438,8.17,18.20,25.64,39.40,62.16,72.18,84.31,43015.23,770
231,0.27460,8.17,18.18,25.69,39.57,62.10,72.35,87.17,43036.97,769
232,0.27397,8.17,18.15,25.76,39.89,62.12,71.85,84.91,43042.19,769
233,0.27408,8.17,18.18,25.88,39.51,61.84,72.18,103.38,43084.31,768
234,0.27340,8.17,18.18,26.02,39.01,61.88,71.82,83.71,43012.44,768
235,0.27425,8.17,18.18,26.09,38.95,61.57,71.91,106.01,43087.30,767
236,0.27355,8.17,18.15,26.02,39.43,61.72,72.35,86.17,43025.16,767
237,0.27370,8.17,18.15,26.18,39.51,61.71,72.55,92.50,43096.64,768
238,0.27331,8.17,18.18,26.26,40.17,61.99,72.61,107.28,43173.26,768
239,0.27204,8.17,18.18,26.37,39.73,62.22,71.90,85.69,43196.49,768
240,0.27252,8.17,18.15,26.32,40.01,62.22,71.96,85.05,43251.43,769
241,0.27254,8.17,18.18,26.45,40.46,62.36,71.60,101.17,43271.01,769
242,0.27132,8.17,18.18,26.57,40.31,62.35,71.56,86.37,43245.39,770
243,0.27213,8.17,18.20,26.64,39.68,62.25,71.47,106.40,43279.60,772
244,0.27189,8.17,18.38,26.62,39.75,62.22,71.74,84.79,43302.56,775
245,0.27190,8.17,18.45,26.48,39.54,62.28,71.81,105.83,43369.12,775
246,0.27166,8.17,18.45,26.56,39.31,62.69,72.00,99.87,43394.66,775
247,0.27034,8.17,18.48,26.98,40.01,62.71,71.95,88.77,43417.21,777
248,0.27132,8.17,18.48,26.63,39.86,62.34,72.04,105.29,43474.32,776
249,0.27035,8.17,18.45,26.96,39.64,62.30,71.90,87.42,43361.22,775
250,0.27010,8.17,18.45,27.01,39.65,62.43,71.73,86.85,43415.52,776
251,0.27107,8.17,18.38,26.99,40.01,62.60,72.27,100.30,43485.65,775
252,0.26935,6.58,18.38,26.92,39.68,62.49,71.95,87.37,43381.44,774
253,0.27040,6.58,18.38,27.01,39.09,62.18,71.88,88.19,43431.58,778
254,0.26970,6.58,18.45,27.30,39.76,62.25,71.54,107.29,43504.59,778
255,0.27057,6.58,18.33,26.99,39.44,62.45,71.94,95.47,43447.74,777
256,0.26975,6.58,18.33,27.17,39.15,62.46,72.21,86.66,43464.68,778
257,0.27005,6.58,18.20,27.23,38.13,62.38,72.33,92.30,43359.94,778
258,0.26977,6.58,18.33,27.27,38.99,62.12,72.21,85.13,43380.00,777
259,0.26881,6.58,18.20,27.27,39.22,62.55,71.63,83.43,43388.78,778
260,0.26878,6.58,18.33,27.42,38.75,62.76,71.80,88.11,43442.60,778
261,0.26751,6.58,18.33,27.56,39.14,62.24,71.52,82.90,43447.11,779
262,0.26722,6.58,18.38,27.55,38.77,62.28,71.83,108.31,43429.47,779
263,0.26761,6.58,18.45,27.53,38.53,62.48,72.14,112.19,43492.46,778
264,0.26638,6.58,18.45,27.46,39.68,62.59,71.77,82.46,43505.02,778
265,0.26694,6.58,18.45,27.77,38.78,62.69,71.56,82.84,43558.29,778
266,0.26663,6.58,18.45,27.64,38.81,62.39,71.67,82.57,43544.57,778
267,0.26713,6.58,18.45,27.72,38.97,62.84,72.15,89.04,43620.35,778
268,0.26699,6.58,18.45,28.01,38.77,62.50,71.93,86.50,43686.27,778
269,0.26709,6.58,18.45,27.72,38.95,62.75,72.28,83.00,43699.00,779
270,0.26754,6.58,18.38,27.93,38.73,62.42,72.31,112.09,43691.28,777
271,0.26816,6.58,18.33,27.94,38.36,62.58,72.65,104.73,43717.80,776
272,0.26776,6.58,18.20,28.01,38.38,62.64,72.29,88.02,43641.50,775
273,0.26744,6.58,18.20,27.95,38.73,62.86,72.19,88.05,43705.57,777
274,0.26618,6.58,18.38,27.93,39.13,62.77,72.04,85.59,43762.88,778
275,0.26641,6.58,18.38,27.72,39.21,62.42,72.33,82.20,43803.85,782
276,0.26591,6.58,18.45,28.01,38.77,62.92,72.18,91.41,43812.05,781
277,0.26553,6.58,18.45,28.17,38.73,62.56,72.27,88.27,43887.51,781
278,0.26552,6.58,18.45,28.01,38.87,63.09,72.42,85.91,43953.21,781
279,0.26733,6.58,18.33,28.09,38.53,63.42,72.30,113.47,44017.45,781
280,0.26599,6.58,18.33,27.93,38.59,62.37,72.67,84.77,43906.84,781
281,0.26529,6.58,18.20,28.10,38.72,62.94,72.07,85.48,43931.82,780
282,0.26444,6.58,18.20,28.41,38.85,63.29,72.15,87.69,43865.86,779
283,0.26544,6.58,18.20,28.10,38.57,62.94,72.11,85.90,43895.00,779
284,0.26563,6.58,18.20,28.08,39.02,62.75,72.62,85.44,43951.26,780
285,0.26679,6.58,18.18,28.15,39.10,62.73,73.26,105.61,44017.78,780
286,0.26534,6.58,18.18,28.47,38.64,63.26,72.75,84.68,44031.53,780
287,0.26486,6.58,18.18,28.56,39.24,63.19,72.94,84.34,44084.61,780
288,0.26635,6.58,18.18,28.44,38.89,62.81,72.57,106.76,44145.92,780
289,0.26518,6.58,18.18,28.61,39.21,62.91,72.88,83.33,44164.32,780
290,0.26575,6.58,18.15,28.54,39.22,62.94,72.92,97.64,44199.11,779
291,0.26522,6.58,18.15,28.65,39.05,62.94,73.04,108.72,44187.81,779
292,0.26515,6.58,18.15,28.58,39.31,63.22,72.47,87.75,44186.42,779
293,0.26492,6.58,18.15,28.65,38.76,62.88,72.73,90.95,44236.69,781
294,0.26429,6.58,18.18,28.85,39.12,63.48,72.87,84.70,44306.42,781
295,0.26449,6.58,18.18,28.79,39.07,63.16,72.79,86.82,44290.82,782
296,0.26404,6.58,18.20,29.05,39.10,63.34,72.65,87.09,44380.46,783
297,0.26469,6.58,18.15,28.59,39.69,63.51,73.08,92.27,44389.79,783
298,0.26388,6.58,18.15,29.01,39.44,63.65,72.86,83.17,44401.69,783
299,0.26366,6.58,18.12,29.29,39.38,63.42,72.95,85.22,44371.50,782
300,0.26423,6.58,18.10,29.21,39.63,63.40,72.83,116.92,44445.85,783
301,0.26379,6.58,18.12,29.49,39.58,63.41,72.85,89.94,44429.94,782
302,0.26457,6.58,18.10,29.28,39.11,63.29,73.05,88.11,44377.06,781
303,0.26385,6.58,18.10,29.22,39.83,63.46,72.94,83.51,44443.17,781
304,0.26492,6.58,18.10,29.22,38.82,63.69,73.00,117.85,44462.67,781
305,0.26342,6.58,18.12,29.39,39.00,63.75,73.06,82.80,44480.65,782
306,0.26390,6.58,18.12,29.41,39.21,63.42,73.06,88.85,44531.97,785
307,0.26421,6.58,18.12,29.34,38.78,63.67,73.57,86.70,44598.94,790
308,0.26417,6.58,18.20,29.20,39.39,63.63,73.19,109.65,44679.53,789
309,0.26252,6.58,18.20,29.32,40.36,63.81,73.44,114.55,44702.53,788
310,0.26241,6.58,18.33,29.42,39.11,63.74,73.48,89.28,44554.16,786
311,0.26256,6.58,18.33,29.54,39.54,63.92,73.28,87.89,44608.18,787
312,0.26282,6.58,18.33,29.14,38.81,64.01,73.28,86.06,44586.66,786
313,0.26339,6.58,18.20,28.56,38.66,63.49,73.01,84.49,44518.23,784
314,0.26303,6.58,18.20,28.56,38.82,63.44,73.13,87.04,44435.87,785
315,0.26238,6.58,18.33,28.74,38.38,63.64,73.00,83.18,44491.83,787
316,0.26156,6.58,18.38,29.11,38.35,63.72,73.36,86.46,44562.06,788
317,0.26297,6.58,18.38,28.63,38.39,63.57,72.98,112.22,44596.04,786
318,0.26208,6.58,18.38,29.04,38.27,63.50,73.36,87.32,44583.91,788
319,0.26151,6.58,18.45,28.86,38.62,63.95,73.60,111.60,44648.90,789
320,0.26094,6.58,18.45,28.96,38.46,63.65,73.54,82.43,44665.45,790
