iteration,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
2255,0.28285,27.05,56.26,77.47,149.78,205.49,230.57,463.19,146788.45,642,5.55,0.00,1.19,3.07,6.22,8.19,8.60,8.98
2256,0.28380,27.05,56.26,77.70,149.31,205.87,229.46,463.19,146708.42,639,5.53,0.00,1.19,3.05,6.21,8.19,8.60,8.98
2257,0.28406,27.05,56.38,77.89,148.73,205.64,229.85,463.19,146831.82,641,5.53,0.00,1.20,3.06,6.21,8.19,8.60,8.99
2258,0.28295,27.05,56.38,77.98,149.97,204.49,230.43,463.19,146918.29,640,5.53,0.00,1.21,3.07,6.20,8.19,8.60,8.99
2259,0.28340,27.05,56.51,77.98,149.24,205.26,230.43,463.19,146564.60,637,5.50,0.00,1.18,3.01,6.18,8.19,8.60,8.99
2260,0.28397,27.05,56.38,77.82,148.35,204.89,231.22,463.19,146672.46,637,5.50,0.00,1.17,3.01,6.17,8.19,8.60,9.00
2261,0.28372,27.05,56.80,78.19,148.73,203.49,231.81,463.19,146523.16,636,5.49,0.00,1.18,3.01,6.13,8.19,8.60,9.00
2262,0.28418,27.05,56.51,78.17,147.72,203.40,232.29,463.19,146602.93,639,5.51,0.01,1.21,3.04,6.14,8.19,8.60,9.00
2263,0.28609,26.95,56.51,77.72,145.56,202.96,232.46,463.19,146412.82,637,5.49,0.00,1.17,3.02,6.10,8.19,8.60,9.01
2264,0.28583,26.95,56.40,78.10,145.74,203.16,234.61,463.19,146459.39,635,5.48,0.00,1.18,3.02,6.10,8.19,8.60,9.01
2265,0.28529,26.95,56.51,77.98,146.28,202.15,232.39,437.36,146467.20,635,5.47,0.00,1.19,3.01,6.09,8.18,8.60,9.01
2266,0.28535,26.95,56.80,77.98,145.66,203.37,231.66,437.36,146389.13,633,5.46,0.00,1.17,2.98,6.09,8.17,8.59,9.01
2267,0.28390,26.95,56.38,77.98,147.26,202.75,233.05,437.36,146277.98,629,5.44,0.00,1.16,2.96,6.04,8.17,8.59,9.02
2268,0.28441,26.95,56.11,77.20,146.40,203.86,232.83,437.36,145981.86,627,5.43,0.00,1.17,2.89,6.05,8.16,8.59,9.02
2269,0.28578,26.95,56.38,76.90,145.44,202.75,231.92,459.02,145478.31,625,5.41,0.00,1.16,2.88,6.01,8.15,8.59,9.02
2270,0.29001,26.95,56.23,77.41,142.72,202.11,230.63,600.08,145244.14,619,5.35,0.00,1.09,2.78,5.93,8.11,8.59,9.02
2271,0.29204,26.95,56.26,77.16,141.57,201.08,231.33,600.08,144567.71,612,5.31,0.00,1.05,2.73,5.86,8.05,8.58,9.02
2272,0.29167,26.95,56.26,76.92,141.45,201.49,231.82,600.08,144621.96,614,5.32,0.02,1.07,2.76,5.87,8.05,8.58,9.03
2273,0.29262,26.95,56.38,76.89,141.03,202.12,231.30,600.08,144725.98,613,5.32,0.00,1.09,2.76,5.87,8.05,8.59,9.03
2274,0.29310,26.95,56.04,76.34,142.90,201.92,231.31,600.08,144620.44,610,5.30,0.00,1.06,2.73,5.84,8.03,8.58,9.03
2275,0.29263,26.95,56.26,76.75,142.51,201.71,231.41,600.08,144501.09,610,5.29,0.00,1.08,2.74,5.80,8.03,8.58,9.04
2276,0.29258,26.95,55.69,76.89,142.72,201.79,231.52,600.08,144608.75,611,5.29,0.00,1.07,2.74,5.80,8.03,8.58,9.04
2277,0.29213,26.95,55.77,76.89,142.51,200.04,231.66,600.08,144176.70,608,5.27,0.00,1.05,2.67,5.77,8.03,8.58,9.04
2278,0.29135,26.95,56.04,77.20,143.70,200.56,231.02,600.08,144270.87,608,5.28,0.00,1.06,2.67,5.78,8.03,8.58,9.04
2279,0.29207,26.95,56.04,77.11,142.51,200.23,231.61,600.08,144366.89,609,5.29,0.03,1.10,2.70,5.78,8.04,8.58,9.05
2280,0.29272,26.95,56.04,77.11,141.53,201.02,230.05,600.08,144464.76,608,5.29,0.00,1.09,2.70,5.79,8.04,8.58,9.05
2281,0.29369,26.95,55.69,76.89,141.67,201.20,232.47,600.08,144596.87,607,5.30,0.00,1.11,2.70,5.81,8.04,8.59,9.05
2282,0.29637,26.95,55.31,75.70,140.30,200.72,233.51,600.08,144506.33,602,5.25,0.00,1.06,2.70,5.75,8.01,8.58,9.06
2283,0.29637,26.95,55.54,75.47,141.42,202.16,234.46,600.08,144601.76,602,5.26,0.01,1.08,2.72,5.76,8.02,8.59,9.06
2284,0.29532,26.95,55.54,75.47,143.07,202.04,234.83,600.08,144718.70,600,5.25,0.00,1.10,2.73,5.67,8.00,8.59,9.06
2285,0.29565,26.95,55.31,75.33,142.51,199.15,234.83,600.08,144485.47,600,5.25,0.00,1.09,2.72,5.67,8.00,8.59,8.96
2286,0.29614,26.95,55.54,75.11,142.66,198.14,235.14,600.08,144555.92,600,5.25,0.00,1.11,2.69,5.67,8.01,8.59,8.94
2287,0.29665,26.95,55.04,75.06,142.51,201.38,234.76,600.08,144587.86,601,5.25,0.00,1.14,2.68,5.68,8.01,8.59,8.94
2288,0.29780,26.95,55.31,74.94,141.53,199.41,234.83,600.08,144608.57,600,5.25,0.00,1.13,2.67,5.67,8.01,8.59,8.95
2289,0.29854,26.95,54.46,75.04,140.69,199.85,235.55,600.08,144329.94,598,5.23,0.00,1.10,2.66,5.64,8.01,8.58,8.95
2290,0.29962,26.95,54.10,74.53,140.05,200.36,236.36,600.08,144049.24,597,5.22,0.00,1.03,2.64,5.61,8.00,8.59,8.95
2291,0.30026,26.95,54.10,74.43,139.63,198.82,234.94,600.08,143958.92,595,5.20,0.00,1.03,2.61,5.59,7.99,8.59,8.95
2292,0.29925,26.95,54.10,74.57,138.81,200.90,233.62,600.08,143795.87,595,5.22,0.02,1.05,2.62,5.60,8.00,8.59,8.96
2293,0.30001,26.95,54.07,74.43,139.34,200.85,235.40,600.08,143702.07,593,5.20,0.00,1.04,2.60,5.58,7.98,8.58,8.96
2294,0.30033,26.95,54.07,74.18,137.05,198.81,236.30,600.08,143266.89,590,5.19,0.00,1.06,2.61,5.57,7.96,8.58,8.96
2295,0.30090,26.95,53.74,74.19,137.81,198.64,235.88,600.08,143325.73,590,5.19,0.00,1.06,2.62,5.58,7.96,8.57,8.96
2296,0.30068,26.95,54.07,74.94,137.72,198.66,235.96,600.08,143313.64,586,5.16,0.00,1.03,2.59,5.55,7.93,8.56,8.96
2297,0.30168,26.95,53.33,74.43,136.08,199.12,236.86,600.08,143101.45,585,5.16,0.00,1.03,2.58,5.54,7.92,8.56,8.96
2298,0.30096,26.95,52.80,74.94,137.52,199.23,236.45,600.08,143134.91,584,5.15,0.00,1.01,2.59,5.51,7.91,8.56,8.97
2299,0.30070,26.95,53.24,75.13,138.03,199.46,235.86,600.08,143114.04,584,5.16,0.01,1.04,2.62,5.52,7.92,8.56,8.97
2300,0.30024,26.95,53.24,75.47,136.85,199.87,234.81,600.08,143139.53,585,5.17,0.03,1.06,2.62,5.53,7.93,8.57,8.97
2301,0.30023,26.95,53.24,75.40,137.05,201.10,236.02,600.08,143202.95,587,5.19,0.06,1.10,2.65,5.55,7.93,8.57,8.98
2302,0.30123,26.95,53.24,75.66,136.88,200.41,236.63,600.08,143250.59,587,5.19,0.00,1.11,2.66,5.55,7.93,8.57,8.98
2303,0.30336,26.95,52.60,75.33,137.93,200.99,237.63,600.08,143274.27,585,5.19,0.00,1.11,2.66,5.55,7.92,8.57,8.98
2304,0.30290,26.95,53.24,75.41,135.93,198.90,236.86,600.08,142881.26,582,5.17,0.00,1.11,2.64,5.53,7.92,8.57,8.99
2305,0.30343,26.95,53.24,75.37,136.64,199.95,235.71,600.08,143013.35,581,5.17,0.00,1.11,2.63,5.53,7.92,8.57,8.99
2306,0.30549,26.47,52.80,74.94,135.94,198.97,237.51,600.08,142949.61,579,5.15,0.00,1.10,2.56,5.48,7.89,8.56,8.99
2307,0.30462,26.47,52.80,74.94,135.80,197.98,237.25,600.08,142781.26,581,5.15,0.00,1.12,2.57,5.48,7.89,8.57,8.99
2308,0.30398,26.47,52.80,75.47,135.19,197.28,237.03,512.27,142578.53,581,5.14,0.00,1.13,2.58,5.46,7.88,8.56,8.99
2309,0.30358,26.47,52.80,74.87,136.08,197.21,238.02,512.27,142542.36,581,5.14,0.00,1.12,2.61,5.41,7.88,8.56,9.00
2310,0.30305,26.47,52.60,74.83,136.08,197.07,237.45,512.27,142460.90,580,5.13,0.00,1.13,2.62,5.40,7.87,8.56,8.98
2311,0.30378,26.47,52.80,74.43,135.79,196.86,237.10,512.27,142421.25,579,5.14,0.00,1.17,2.63,5.41,7.86,8.56,8.98
2312,0.30415,26.47,52.55,74.62,134.33,195.72,237.65,512.27,142451.62,575,5.12,0.00,1.13,2.61,5.40,7.85,8.55,8.98
2313,0.30454,26.47,52.41,74.94,134.33,194.97,237.32,512.27,142524.60,574,5.11,0.00,1.14,2.63,5.39,7.84,8.55,8.99
2314,0.30369,26.47,52.60,75.30,134.01,196.93,236.69,459.02,142479.16,575,5.12,0.00,1.15,2.64,5.39,7.84,8.55,8.99
2315,0.30429,26.47,52.55,74.94,134.29,197.55,236.86,459.02,142438.94,574,5.11,0.00,1.16,2.65,5.39,7.83,8.54,8.99
2316,0.30438,26.47,52.55,74.94,134.33,197.51,236.86,459.02,142462.92,574,5.13,0.01,1.19,2.66,5.41,7.84,8.54,9.00
2317,0.30349,26.47,52.60,75.47,133.79,197.89,236.86,459.02,142523.60,573,5.10,0.00,1.20,2.65,5.37,7.81,8.53,8.98
2318,0.30243,26.47,52.80,76.09,132.95,197.15,236.45,459.02,142232.23,571,5.10,0.00,1.21,2.66,5.36,7.80,8.54,8.99
2319,0.30270,26.47,52.80,76.14,133.92,196.86,236.19,459.02,142262.40,571,5.10,0.00,1.23,2.64,5.35,7.80,8.54,8.99
2320,0.30136,26.47,52.88,76.49,134.29,195.87,235.13,459.02,142261.84,570,5.10,0.00,1.23,2.66,5.36,7.80,8.53,8.99
2321,0.30059,26.47,52.84,76.14,134.33,196.36,235.06,459.02,142252.40,571,5.11,0.00,1.27,2.67,5.37,7.79,8.53,9.00
2322,0.30112,26.47,53.68,76.09,132.52,196.57,235.92,459.02,142221.22,572,5.10,0.00,1.26,2.69,5.37,7.79,8.53,9.00
2323,0.30092,26.47,53.68,76.14,131.06,196.69,236.11,459.02,142060.09,572,5.11,0.00,1.28,2.69,5.39,7.79,8.53,9.00
2324,0.30097,26.47,52.80,75.47,132.91,196.36,235.97,459.02,141946.32,570,5.09,0.00,1.26,2.69,5.33,7.78,8.53,9.01
2325,0.29960,26.47,53.68,75.51,132.57,195.89,235.10,459.02,141795.42,571,5.10,0.00,1.28,2.71,5.32,7.78,8.53,9.01
2326,0.30060,26.47,52.80,75.37,133.79,195.11,233.79,459.02,141369.69,569,5.07,0.00,1.27,2.68,5.29,7.77,8.52,9.01
2327,0.30017,26.47,53.24,75.30,132.11,194.17,235.55,459.02,141209.07,572,5.08,0.01,1.29,2.70,5.30,7.77,8.52,9.01
2328,0.30090,26.47,52.80,74.94,131.82,193.86,235.74,459.02,141104.39,571,5.08,0.00,1.28,2.71,5.29,7.76,8.52,9.02
2329,0.30287,26.47,52.60,74.94,131.22,193.64,236.74,459.02,141024.15,573,5.07,0.00,1.30,2.70,5.29,7.74,8.52,9.02
2330,0.30309,26.47,52.60,75.47,131.34,192.83,235.02,459.02,140976.70,571,5.06,0.00,1.30,2.70,5.26,7.72,8.52,9.02
2331,0.30371,26.47,52.55,75.37,131.25,193.27,234.60,459.02,140842.70,570,5.04,0.00,1.25,2.65,5.16,7.67,8.52,9.02
2332,0.30315,26.47,52.41,75.02,131.05,193.06,235.46,459.02,140561.41,569,5.05,0.00,1.25,2.65,5.17,7.68,8.53,9.03
2333,0.30214,26.47,52.41,75.07,130.69,192.43,235.53,459.02,140393.93,568,5.03,0.00,1.25,2.64,5.16,7.67,8.52,9.03
2334,0.30286,26.47,52.18,75.25,130.96,193.15,233.96,459.02,140117.77,565,5.00,0.00,1.23,2.63,5.10,7.64,8.51,9.03
2335,0.30280,26.47,52.15,75.37,130.66,192.39,234.34,459.02,139975.17,565,5.01,0.00,1.24,2.63,5.10,7.64,8.51,9.03
2336,0.30225,26.47,52.15,75.21,130.92,192.25,234.32,459.02,139823.23,565,5.01,0.00,1.25,2.65,5.10,7.65,8.51,9.03
2337,0.30203,26.47,52.15,75.37,129.49,192.15,234.60,459.02,139746.79,565,5.03,0.05,1.27,2.67,5.12,7.66,8.51,9.04
2338,0.30174,26.47,52.17,75.72,130.28,192.43,232.83,459.02,139708.01,563,5.01,0.00,1.27,2.65,5.11,7.65,8.52,8.99
2339,0.30269,26.47,52.18,75.37,129.03,191.29,233.74,459.02,139686.88,562,5.02,0.00,1.26,2.66,5.11,7.65,8.52,9.00
2340,0.30267,26.47,52.15,74.84,129.44,191.84,233.21,459.02,139667.73,561,5.01,0.00,1.28,2.67,5.11,7.64,8.52,9.00
2341,0.30211,26.47,52.15,75.39,130.36,192.43,232.14,459.02,139659.15,560,5.01,0.00,1.28,2.68,5.11,7.63,8.51,9.01
2342,0.30299,26.47,52.15,74.68,130.29,192.43,233.03,459.02,139657.98,559,5.02,0.00,1.29,2.69,5.12,7.63,8.50,9.01
2343,0.30312,26.47,52.15,74.19,130.46,191.54,233.89,459.02,139662.98,561,5.02,0.00,1.31,2.70,5.13,7.63,8.50,9.01
2344,0.30267,26.47,52.15,74.43,130.69,192.64,232.24,459.02,139521.66,567,5.04,0.02,1.34,2.72,5.15,7.63,8.50,9.01
2345,0.30208,26.47,52.09,74.33,130.76,191.99,231.23,459.02,139282.18,566,5.03,0.00,1.35,2.74,5.13,7.63,8.50,9.01
2346,0.30034,26.47,52.09,74.94,132.25,190.80,231.02,459.02,139039.18,568,5.03,0.00,1.31,2.74,5.12,7.63,8.50,9.02
2347,0.30026,26.47,52.01,75.07,131.64,191.10,230.94,459.02,138762.11,568,5.03,0.00,1.32,2.76,5.13,7.60,8.50,9.02
2348,0.30080,26.47,52.01,75.21,128.18,189.90,232.57,459.02,138277.04,569,5.04,0.00,1.34,2.77,5.14,7.61,8.51,9.02
2349,0.30035,26.47,52.01,75.37,126.94,189.00,230.86,459.02,138008.12,571,5.05,0.02,1.38,2.79,5.15,7.61,8.51,9.02
2350,0.30075,26.47,52.01,74.94,127.41,188.62,230.87,459.02,137794.20,571,5.06,0.00,1.39,2.80,5.16,7.60,8.51,9.03
2351,0.30159,26.47,52.01,75.07,126.53,188.85,231.24,456.45,137585.05,573,5.06,0.00,1.42,2.80,5.17,7.60,8.51,9.03
2352,0.30236,26.47,51.44,75.08,126.65,188.53,231.97,456.45,137357.39,572,5.05,0.00,1.41,2.80,5.16,7.59,8.49,9.03
2353,0.30198,26.47,52.01,75.35,125.91,188.78,231.50,456.45,137075.82,571,5.05,0.00,1.42,2.81,5.18,7.60,8.48,9.03
2354,0.30231,26.47,52.01,74.18,124.75,189.75,229.82,456.45,136899.08,570,5.06,0.00,1.44,2.83,5.09,7.58,8.48,9.04
2355,0.30282,26.47,51.44,73.83,125.16,189.56,230.11,456.45,136556.57,569,5.06,0.00,1.47,2.84,5.10,7.58,8.48,9.04
2356,0.30323,26.47,52.01,73.93,124.99,189.91,229.51,456.45,136530.21,571,5.08,0.01,1.49,2.86,5.12,7.59,8.48,9.04
2357,0.30298,26.47,52.01,74.19,125.64,188.53,231.88,456.45,136448.80,569,5.07,0.00,1.48,2.86,5.10,7.59,8.47,9.05
2358,0.30298,26.47,52.01,73.11,125.91,188.68,230.55,456.45,136417.42,569,5.09,0.03,1.49,2.86,5.11,7.60,8.48,9.05
2359,0.30346,26.47,51.44,73.02,125.64,189.19,231.45,456.45,136427.14,572,5.08,0.00,1.50,2.88,5.11,7.60,8.46,9.05
2360,0.30239,26.47,52.09,73.34,125.64,188.21,230.36,456.45,136211.79,570,5.07,0.00,1.46,2.87,5.10,7.56,8.45,9.05
2361,0.30210,26.47,52.09,73.08,125.91,188.25,230.60,456.45,136232.13,569,5.06,0.00,1.47,2.88,5.10,7.56,8.44,9.05
2362,0.30198,26.47,52.09,73.85,125.34,188.95,230.07,456.45,136260.79,570,5.08,0.01,1.48,2.90,5.11,7.57,8.45,9.06
2363,0.30054,26.47,52.09,73.42,125.64,188.96,229.63,456.45,136254.19,572,5.08,0.00,1.51,2.91,5.11,7.56,8.45,9.06
2364,0.30035,26.47,52.01,74.11,126.98,188.15,228.52,456.45,136159.51,570,5.08,0.00,1.51,2.92,5.10,7.56,8.45,9.06
2365,0.30193,26.47,51.44,74.19,126.59,188.84,230.54,456.45,136135.42,570,5.08,0.00,1.51,2.93,5.11,7.54,8.44,9.07
2366,0.30138,26.47,51.91,74.18,126.98,188.57,230.95,456.45,136056.95,568,5.07,0.00,1.50,2.93,5.11,7.54,8.44,9.07
2367,0.30050,26.47,51.44,74.18,127.47,188.84,230.49,456.45,136009.23,571,5.08,0.02,1.51,2.94,5.13,7.54,8.44,9.07
2368,0.29940,26.47,51.44,74.99,127.85,187.31,229.54,456.45,135677.83,570,5.06,0.00,1.48,2.93,5.11,7.53,8.44,8.99
2369,0.29784,26.47,51.44,75.47,127.91,185.78,228.89,456.45,135617.35,567,5.05,0.00,1.48,2.90,5.10,7.51,8.43,8.99
2370,0.29752,26.47,51.44,75.44,127.05,185.43,229.58,456.45,135583.45,568,5.06,0.02,1.50,2.92,5.12,7.52,8.43,8.99
2371,0.29875,26.47,51.66,74.73,126.23,185.96,229.80,456.45,135589.13,566,5.05,0.00,1.51,2.91,5.11,7.50,8.42,8.95
2372,0.29889,26.47,52.01,74.18,126.42,186.77,228.65,456.45,135486.44,566,5.04,0.00,1.48,2.90,5.09,7.45,8.41,8.95
2373,0.29938,26.47,52.09,74.51,126.55,187.41,229.52,456.45,135443.07,566,5.04,0.00,1.49,2.90,5.09,7.45,8.42,8.96
2374,0.29918,26.47,52.01,74.19,125.64,186.02,228.71,456.45,134834.79,565,5.03,0.00,1.47,2.90,5.08,7.39,8.40,8.96
2375,0.29938,26.47,52.09,74.11,124.65,185.96,228.33,456.45,134782.79,563,5.03,0.00,1.48,2.91,5.09,7.38,8.39,8.96
2376,0.30007,26.47,52.09,74.11,124.45,186.77,229.01,456.45,134726.85,564,5.03,0.00,1.49,2.94,5.09,7.35,8.40,8.97
2377,0.30060,26.47,51.95,74.18,124.65,185.96,228.04,456.45,134745.35,565,5.03,0.00,1.49,2.93,5.09,7.35,8.40,8.97
2378,0.30026,26.47,52.01,74.18,124.75,185.31,226.93,456.45,134746.82,567,5.03,0.00,1.49,2.94,5.09,7.34,8.40,8.97
2379,0.30170,25.34,51.44,74.11,124.99,185.78,226.93,456.45,134688.75,567,5.03,0.00,1.49,2.94,5.09,7.34,8.39,8.97
2380,0.30098,25.34,51.66,74.18,124.75,185.89,227.21,456.45,134501.73,568,5.04,0.01,1.53,2.96,5.10,7.34,8.40,8.98
2381,0.30043,25.34,51.66,74.18,124.65,185.96,228.17,456.45,134372.62,569,5.05,0.00,1.55,2.97,5.10,7.34,8.40,8.98
2382,0.30013,25.34,51.44,74.03,124.73,186.41,227.03,456.45,134236.42,569,5.04,0.00,1.54,2.98,5.10,7.33,8.40,8.98
2383,0.30077,25.34,51.44,74.18,123.29,185.27,226.93,456.45,134114.97,568,5.03,0.00,1.53,2.96,5.09,7.32,8.40,8.98
2384,0.30146,25.34,51.44,74.18,121.99,184.38,226.21,456.45,133502.86,566,5.01,0.00,1.49,2.95,5.06,7.30,8.39,8.97
2385,0.30128,25.34,51.44,73.69,121.88,184.76,228.97,456.45,133237.67,568,5.02,0.00,1.51,2.97,5.07,7.30,8.39,8.97
2386,0.29997,25.34,51.44,73.71,122.23,184.70,227.44,456.45,133010.50,569,5.02,0.00,1.47,2.98,5.08,7.29,8.39,8.97
2387,0.29911,25.34,51.42,73.95,122.77,184.93,226.90,456.45,132747.96,569,5.03,0.00,1.49,3.00,5.08,7.30,8.39,8.98
2388,0.29808,25.34,51.47,73.95,122.77,183.84,226.49,456.45,132530.03,570,5.03,0.00,1.50,3.00,5.08,7.29,8.39,8.98
2389,0.30002,25.34,51.47,72.77,122.02,182.96,227.17,456.45,132369.02,570,5.02,0.00,1.49,2.99,5.08,7.28,8.38,8.98
2390,0.30014,25.34,51.66,73.18,121.88,182.05,227.47,456.45,132217.06,571,5.02,0.00,1.51,3.00,5.08,7.29,8.38,8.98
2391,0.29998,25.34,51.66,73.34,121.54,183.71,228.19,456.45,132109.69,571,5.04,0.02,1.51,3.03,5.08,7.30,8.38,8.99
2392,0.29968,25.34,51.66,73.44,121.54,183.34,227.15,456.45,132055.67,574,5.05,0.03,1.54,3.05,5.09,7.30,8.39,8.99
2393,0.29961,25.34,51.83,73.81,121.67,183.98,225.45,456.45,131934.82,574,5.06,0.00,1.55,3.06,5.10,7.28,8.39,8.99
2394,0.30016,25.34,51.66,73.82,121.24,184.48,226.05,456.45,131823.50,573,5.05,0.00,1.57,3.07,5.10,7.27,8.39,9.00
2395,0.30000,25.34,52.01,73.06,121.02,184.00,225.97,456.45,131786.70,574,5.07,0.01,1.59,3.09,5.12,7.28,8.40,9.00
2396,0.30034,25.34,52.01,73.02,121.54,182.81,224.97,456.45,131767.30,575,5.08,0.04,1.63,3.10,5.13,7.28,8.40,9.00
2397,0.29919,25.34,52.01,73.13,121.54,181.78,224.43,456.45,131744.19,572,5.07,0.00,1.60,3.09,5.10,7.28,8.40,9.00
2398,0.29899,25.34,52.01,73.47,121.87,182.01,223.94,456.45,131740.40,574,5.08,0.02,1.62,3.11,5.12,7.28,8.40,9.01
2399,0.29914,25.34,52.09,72.77,120.62,180.82,223.83,456.45,131523.28,573,5.08,0.00,1.63,3.11,5.10,7.27,8.39,9.01
2400,0.29902,25.34,52.09,72.22,120.66,179.99,224.51,456.45,131580.52,574,5.08,0.00,1.64,3.13,5.10,7.28,8.39,9.01
2401,0.29828,25.34,52.09,72.61,120.33,180.61,224.28,456.45,131584.71,574,5.10,0.04,1.67,3.15,5.12,7.29,8.40,9.01
2402,0.29836,25.34,52.09,72.77,121.05,181.32,223.80,456.45,131633.05,578,5.11,0.07,1.70,3.17,5.13,7.29,8.40,9.01
2403,0.29897,25.34,52.09,72.22,121.55,181.70,224.02,456.45,131665.39,580,5.11,0.00,1.72,3.17,5.14,7.30,8.40,9.02
2404,0.29869,25.34,52.09,72.75,121.46,181.78,224.40,456.45,131662.93,581,5.13,0.02,1.74,3.19,5.15,7.30,8.41,9.02
2405,0.29824,25.34,52.15,72.29,121.46,182.04,224.43,456.45,131689.66,581,5.14,0.04,1.76,3.21,5.16,7.31,8.41,9.02
2406,0.29968,25.34,52.09,71.93,120.87,183.91,223.94,456.45,131748.40,580,5.14,0.00,1.78,3.20,5.17,7.31,8.40,9.02
2407,0.30041,25.34,52.15,70.80,121.00,183.72,223.94,456.45,131789.53,579,5.13,0.00,1.78,3.21,5.18,7.31,8.40,9.03
2408,0.30028,25.34,52.17,71.00,120.93,183.82,223.65,456.45,131830.43,579,5.13,0.00,1.77,3.21,5.18,7.31,8.38,9.03
2409,0.30076,25.34,52.17,70.96,120.80,183.40,224.43,456.45,131829.27,581,5.12,0.00,1.76,3.21,5.20,7.32,8.38,9.03
2410,0.29977,25.34,52.40,71.53,120.55,181.93,224.85,456.45,131778.99,581,5.13,0.00,1.78,3.23,5.21,7.32,8.38,9.04
2411,0.29989,25.34,52.40,72.16,119.94,181.72,226.93,456.45,131710.25,580,5.13,0.00,1.78,3.24,5.21,7.32,8.38,9.04
2412,0.30010,25.34,52.18,71.95,120.23,182.42,224.90,456.45,131704.50,584,5.14,0.00,1.78,3.26,5.21,7.32,8.36,9.04
2413,0.29841,25.34,52.18,72.22,121.56,182.21,223.06,431.05,131536.99,583,5.13,0.00,1.77,3.26,5.19,7.31,8.35,9.04
2414,0.29764,25.34,52.18,72.33,121.88,181.22,223.42,431.05,131382.28,584,5.15,0.02,1.80,3.28,5.22,7.32,8.36,9.04
2415,0.29586,25.34,52.51,72.23,122.01,180.95,222.50,431.05,131284.42,584,5.14,0.00,1.78,3.28,5.19,7.30,8.35,9.05
2416,0.29566,25.34,52.51,71.97,120.87,179.61,223.14,431.05,131214.53,585,5.16,0.02,1.81,3.30,5.21,7.31,8.35,9.05
2417,0.29648,25.34,52.40,72.65,121.54,179.61,222.28,431.05,131184.06,586,5.15,0.00,1.78,3.32,5.18,7.29,8.35,9.05
2418,0.29664,25.34,52.40,72.77,120.79,180.40,222.13,431.05,131084.34,588,5.16,0.00,1.79,3.33,5.18,7.29,8.36,9.05
2419,0.29646,25.34,52.18,72.76,120.33,179.74,223.11,431.05,130692.45,592,5.16,0.00,1.75,3.35,5.19,7.30,8.35,9.06
2420,0.29741,25.34,52.09,72.97,118.43,180.07,223.92,431.05,130056.65,590,5.15,0.00,1.73,3.35,5.19,7.26,8.35,9.01
2421,0.29769,25.34,52.09,72.77,118.46,179.92,223.44,431.05,129743.40,590,5.13,0.00,1.74,3.36,5.16,7.24,8.33,9.01
2422,0.29886,25.34,51.47,72.42,119.23,178.50,221.88,431.05,129660.40,587,5.11,0.00,1.71,3.35,5.14,7.22,8.33,9.02
2423,0.29832,25.34,51.47,72.83,117.98,177.21,222.80,431.05,129560.48,587,5.12,0.00,1.71,3.36,5.15,7.23,8.33,9.02
2424,0.29736,25.34,52.15,72.92,117.72,176.19,221.93,431.05,129533.64,587,5.10,0.00,1.67,3.36,5.15,7.23,8.31,9.02
2425,0.29749,25.34,52.15,72.77,117.65,176.45,222.56,431.05,129489.97,589,5.11,0.01,1.69,3.38,5.16,7.23,8.31,9.02
2426,0.29662,25.34,52.15,73.23,118.30,176.79,221.15,431.05,129451.76,592,5.12,0.02,1.72,3.39,5.17,7.24,8.32,9.03
2427,0.29589,25.34,52.15,73.16,117.84,176.15,222.54,431.05,129363.77,592,5.11,0.00,1.72,3.40,5.17,7.21,8.30,9.03
2428,0.29558,25.34,52.15,73.16,118.05,177.24,219.57,431.05,129180.90,594,5.12,0.00,1.72,3.42,5.18,7.22,8.31,9.03
2429,0.29481,25.34,52.15,73.02,118.70,176.63,219.60,431.05,129032.41,594,5.12,0.00,1.75,3.42,5.18,7.22,8.31,9.03
2430,0.29661,25.34,51.51,71.57,118.55,176.93,219.67,431.05,128693.64,594,5.12,0.00,1.72,3.43,5.18,7.21,8.29,9.04
2431,0.29527,25.34,52.09,72.50,118.48,174.34,221.04,431.05,128604.68,599,5.12,0.00,1.73,3.44,5.19,7.21,8.30,9.04
2432,0.29572,25.34,51.47,73.02,116.41,174.64,220.53,431.05,128486.43,596,5.11,0.00,1.72,3.43,5.17,7.20,8.27,9.04
2433,0.29535,25.34,51.47,73.16,115.57,174.05,220.92,431.05,128382.32,598,5.12,0.01,1.73,3.45,5.19,7.21,8.28,9.04
2434,0.29424,25.34,51.47,73.16,117.15,173.64,221.56,431.05,128259.05,602,5.12,0.00,1.75,3.45,5.17,7.21,8.27,9.00
2435,0.29358,25.34,51.44,72.91,115.87,174.00,220.60,431.05,128056.07,603,5.13,0.04,1.77,3.46,5.18,7.22,8.27,9.01
2436,0.29334,25.34,51.44,73.16,115.88,172.71,218.75,431.05,127941.22,604,5.13,0.00,1.78,3.46,5.18,7.21,8.25,9.01
2437,0.29287,25.34,52.15,73.16,115.57,174.00,217.24,431.05,127759.82,604,5.14,0.01,1.80,3.48,5.19,7.21,8.26,9.01
2438,0.29345,25.34,51.47,72.99,115.49,172.59,217.09,431.05,127647.31,607,5.16,0.03,1.82,3.49,5.20,7.22,8.26,9.01
2439,0.29329,25.34,52.15,72.77,115.57,172.59,217.02,431.05,127462.56,608,5.17,0.04,1.85,3.51,5.21,7.24,8.26,9.01
